"observed","invalidballots","Sample"
0,91,0
0,31,1
0,82,0
1,153,1
0,34,0
1,63,1
0,172,0
0,13,1
0,18,0
0,73,0
0,45,0
0,6,0
0,155,0
0,16,0
0,39,0
0,28,0
0,57,0
0,58,0
0,19,0
0,51,0
0,74,0
0,25,0
0,136,0
0,22,0
0,37,0
0,19,0
0,85,1
0,50,0
0,78,0
0,139,0
0,16,0
0,146,0
0,55,1
0,61,0
0,45,0
0,39,0
0,41,0
0,21,0
0,43,0
0,67,1
0,48,0
0,24,0
1,2,1
0,113,0
0,47,0
0,94,0
0,49,1
0,34,0
0,90,0
0,45,0
0,25,1
0,50,1
0,18,0
0,77,0
0,32,0
0,28,0
0,33,1
0,35,1
0,25,0
0,88,0
0,34,0
0,36,0
0,89,0
0,92,0
0,117,0
0,21,0
0,108,0
0,42,0
0,39,0
0,95,0
0,91,1
0,30,0
0,35,1
1,47,0
0,24,1
0,29,0
0,53,0
0,85,0
0,58,0
0,63,0
0,43,0
0,219,1
0,52,0
0,44,0
0,58,0
0,34,1
0,0,0
0,43,0
0,12,1
0,101,0
0,324,0
0,501,1
0,423,0
0,196,0
0,303,0
0,113,0
0,267,1
0,152,0
0,108,0
0,458,0
0,144,0
0,90,0
0,183,1
0,292,1
0,86,0
0,182,0
0,46,0
0,138,0
0,167,1
0,82,0
0,157,0
0,114,0
0,581,0
0,91,0
0,320,0
0,319,0
0,51,0
0,78,0
0,241,0
0,238,0
0,349,0
0,370,0
0,214,0
0,217,1
0,246,1
0,134,0
0,221,1
0,208,0
0,99,0
0,99,0
0,373,1
0,104,1
0,72,0
0,228,0
0,175,1
0,299,0
0,407,0
0,186,0
0,226,0
0,67,0
0,155,0
0,478,0
0,88,1
0,152,0
0,35,0
0,303,0
0,607,0
0,112,0
0,316,0
0,179,0
0,267,0
0,100,1
0,49,0
0,162,1
0,162,1
0,166,0
0,540,0
0,176,0
0,265,0
0,172,0
0,864,1
0,473,1
0,142,0
0,451,1
0,493,1
0,819,0
0,189,1
0,149,0
0,22,0
0,124,0
0,412,0
0,39,0
0,230,0
0,37,0
0,90,0
0,104,0
0,111,0
0,311,0
0,176,0
0,491,0
0,655,1
0,54,0
0,55,0
0,200,0
0,104,0
0,175,0
0,188,0
0,28,0
0,34,0
0,90,1
0,149,0
1,202,1
0,126,0
0,435,0
0,67,0
0,151,0
0,103,0
0,232,0
0,213,0
0,247,0
0,180,1
0,71,0
0,34,0
0,9,1
0,320,0
0,119,0
0,252,0
0,241,0
0,315,1
0,174,0
0,150,0
0,614,0
0,43,1
0,160,0
0,430,0
0,185,0
0,29,0
0,107,0
0,130,1
0,84,0
0,129,0
0,347,0
0,376,0
0,172,0
0,115,0
0,533,1
0,171,0
0,287,0
0,266,0
0,222,0
0,152,1
0,156,0
0,72,0
0,154,0
0,380,0
0,189,0
0,287,0
0,165,0
1,166,1
0,17,0
0,429,0
0,47,1
1,205,1
0,39,0
0,231,0
0,251,0
0,219,0
0,393,0
0,88,0
0,198,0
0,147,0
0,82,1
0,422,0
0,10,0
0,524,0
0,7,1
0,85,0
0,78,1
0,5,0
0,10,1
0,54,0
0,60,0
0,35,0
0,49,1
0,9,0
0,62,0
0,28,0
0,29,1
0,42,1
0,28,1
0,47,0
0,45,0
0,73,0
0,46,0
0,8,1
0,63,0
0,14,0
0,29,0
0,24,1
0,18,0
0,62,1
1,48,1
0,83,0
0,70,0
0,35,0
0,116,0
0,39,0
0,49,1
0,27,0
0,35,0
0,23,0
0,74,1
0,19,0
0,47,0
0,48,0
0,126,1
0,28,0
0,15,0
0,54,1
0,23,0
0,49,0
0,0,0
0,26,1
0,54,0
0,19,0
0,69,0
0,28,1
0,0,0
0,13,0
0,16,0
0,24,0
0,130,0
0,19,0
0,7,0
0,25,0
0,31,0
0,58,0
0,3,0
0,422,0
0,82,0
0,23,0
0,55,0
0,21,0
0,16,0
0,109,0
1,16,1
0,13,0
0,30,0
0,99,0
0,241,0
0,20,0
0,18,0
0,16,0
0,39,0
0,95,1
0,14,0
0,28,0
0,64,0
0,14,0
0,8,0
0,0,1
0,46,0
0,42,0
0,34,0
0,655,0
0,23,0
0,18,0
0,43,0
0,53,0
0,0,1
0,60,0
0,225,1
0,14,0
0,18,1
0,56,0
0,49,0
0,54,0
0,13,0
0,34,1
0,34,0
0,0,0
0,29,0
0,50,0
0,75,0
0,0,0
0,50,0
0,40,0
0,135,0
0,11,0
0,34,0
0,40,0
0,132,0
0,163,0
0,10,0
0,21,0
0,20,0
0,20,0
0,32,0
0,9,0
0,53,0
