"municipality","party","in_2012","in_2016","soc_spend","margin","treat"
NA,NA,NA,NA,NA,NA,NA
1,"center",41.7242146027274,36.5664820028469,40.6701831487007,-1.51334692491218,0
1,"left",43.2375615276396,46.2549670168664,48.982317908667,1.51334692491218,1
2,"left",33.8280903291889,37.6791732618585,37.9689656174742,-1.25352364964783,0
2,"right",35.0816139788367,37.5296346354298,35.1209762296639,1.25352364964783,1
3,"center",34.9167367396876,33.8139495360665,37.2273181248456,-3.41548284748569,0
3,"left",38.3322195871733,48.2887756044511,47.9124054254498,3.41548284748569,1
4,"right",37.7131047612056,36.4687548368238,36.9700716936495,2.157940993784,1
4,"left",35.5551637674216,38.4961273579393,35.2417687221896,-2.157940993784,0
5,"right",39.2099802824669,44.97774695931,34.7497103312053,-2.78780555119738,0
5,"left",41.9977858336642,47.8575361752883,47.9621197748929,2.78780555119738,1
6,"left",43.4433377080131,48.4296572720632,49.9664639949333,1.99609959265217,1
6,"right",41.447238115361,33.4969644062221,42.6849412932061,-1.99609959265217,0
7,"center",38.1694397656247,37.1473909413908,38.2608408899978,6.54035145766102,1
7,"right",31.6290883079637,27.3384002328385,23.8323271402624,-6.54035145766102,0
8,"right",38.1516921124421,37.4890997097827,39.1343614766374,-1.47351552732289,0
8,"left",39.625207639765,45.3171084600035,45.441003938904,1.47351552732289,1
9,"right",43.2172104797792,39.4310537155252,36.1333648127038,11.9006689614616,1
9,"left",31.3165415183175,37.553154315101,39.7860599437263,-11.9006689614616,0
10,"left",38.4564372128807,47.4764365854207,47.2197885520291,0.0746659515425563,1
10,"right",38.3817712613381,36.3071091729216,39.4715354447253,-0.0746659515425563,0
11,"right",38.4982271259651,37.4623408378102,38.9980164251756,2.19020926742814,1
11,"left",36.3080178585369,37.4968603451271,37.3119397566188,-2.19020926742814,0
12,"center",32.0258871407714,39.9840271738358,42.9112396845594,-11.4562153152656,0
12,"left",43.482102456037,46.2868912681006,48.4594178199768,11.4562153152656,1
13,"left",35.203513893066,48.7054892280139,45.9516804339364,1.46579851279967,1
13,"right",33.7377153802663,11.8654883736745,11.24587765662,-1.46579851279967,0
14,"center",44.7847377019934,38.7029258871917,37.8430983505677,10.9599357959814,1
14,"left",33.824801906012,35.3779230825603,36.8431123765185,-10.9599357959814,0
15,"left",39.1694351029582,48.6744034662843,46.4807122747879,2.66594805987552,1
15,"right",36.5034870430827,31.6645386987366,31.8719598711468,-2.66594805987552,0
16,"left",34.9060045857914,36.1430462962016,39.7201348387171,-4.53957394463941,0
16,"right",39.4455785304308,37.1316408342682,37.3138806177303,4.53957394463941,1
17,"right",44.1578578320332,37.0940185873769,36.4951936667785,10.4447956744116,1
17,"left",33.7130621576216,39.2078440904152,36.0715077794157,-10.4447956744116,0
18,"left",40.8635590982158,45.3899516700767,46.7743525188416,5.01607810263522,1
18,"center",35.8474809955806,44.6931851506233,32.722461307887,-5.01607810263522,0
19,"left",41.8691502255388,48.5902948293369,45.5880174855702,5.91989034321159,1
19,"center",35.9492598823272,43.0503926961683,33.479103800375,-5.91989034321159,0
20,"left",33.9369233872276,36.0995522199664,38.6935993167572,-1.34702150244266,0
20,"right",35.2839448896702,38.861593460897,37.4524443305563,1.34702150244266,1
21,"right",40.1070911390707,39.8270431463607,36.8154220387805,3.00071923993528,1
21,"center",37.1063718991354,36.2224566971418,38.4639438905288,-3.00071923993528,0
22,"left",42.0261666714214,48.7278260721359,45.5050896317698,11.0740754089784,1
