"id","nearc2","nearc4","educ","age","fatheduc","motheduc","weight","momdad14","sinmom14","step14","reg661","reg662","reg663","reg664","reg665","reg666","reg667","reg668","reg669","south66","black","smsa","south","smsa66","wage","enroll","KWW","IQ","married","libcrd14","exper","lwage","expersq","u_lwage","lwage_hat","u_educ"
2,0,0,7,29,NA,NA,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,548,0,15,NA,1,0,16,6.30627489089966,256,0.198046714067459,6.10822820663452,-3.06753873825073
3,0,0,12,27,8,8,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35,93,1,1,9,6.17586708068848,81,-0.211160272359848,6.38702726364136,-1.7275618314743
4,0,0,12,34,14,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,721,0,42,103,1,1,16,6.58063888549805,256,0.204719021916389,6.37591981887817,1.01297545433044
5,1,1,11,27,11,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,25,88,1,1,10,5.52146100997925,100,-0.967905223369598,6.48936605453491,-2.25353646278381
6,1,1,12,34,8,7,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,729,0,34,108,1,0,16,6.59167385101318,256,0.125172704458237,6.46650123596191,1.09043681621552
7,1,1,12,26,9,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38,85,1,1,8,6.21460819244385,64,-0.246794700622559,6.46140289306641,-2.04835057258606
8,1,1,18,33,14,14,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,565,0,41,119,1,1,9,6.33682584762573,81,-0.140782788395882,6.4776086807251,4.34989976882935
9,1,1,14,29,14,14,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,608,0,46,108,1,1,9,6.41017484664917,81,-0.0674337893724442,6.4776086807251,0.349899560213089
10,1,1,12,28,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32,96,4,0,10,6.05208921432495,100,-0.437277048826218,6.48936605453491,-1.25353646278381
11,1,1,12,29,12,12,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,515,0,34,97,1,1,11,6.2441668510437,121,-0.252508878707886,6.49667596817017,-0.858658790588379
12,1,1,9,28,11,12,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,225,0,29,84,1,0,13,5.41610097885132,169,-1.12397885322571,6.54008007049561,-3.34074568748474
13,1,1,12,26,11,6,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,400,0,34,89,1,1,8,5.99146509170532,64,-0.469937801361084,6.46140289306641,-2.04835057258606
14,1,1,11,24,11,6,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,417,0,22,93,1,1,7,6.03308582305908,49,-0.407663196325302,6.440749168396,-3.44828677177429
15,1,1,11,30,11,6,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,217,0,27,74,1,0,13,5.37989711761475,169,-1.11805319786072,6.49795007705688,-1.07396197319031
16,1,1,16,31,NA,8,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,894,0,43,116,1,1,9,6.79570579528809,81,0.58578884601593,6.20991706848145,3.26938533782959
17,1,1,14,24,15,12,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,36,NA,6,1,4,5.70378303527832,16,-0.64831554889679,6.35209846496582,-1.65821313858032
19,1,1,12,34,12,8,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,346,0,40,93,1,1,16,5.84643888473511,256,-0.620062291622162,6.46650123596191,1.09043681621552
20,1,1,14,29,NA,12,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,658,0,35,100,1,1,9,6.48920488357544,81,0.0115962438285351,6.4776086807251,0.349899560213089
22,1,1,10,26,8,8,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,575,0,24,91,6,0,10,6.3543701171875,100,-0.134996131062508,6.48936605453491,-3.25353646278381
25,1,1,12,32,8,8,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,649,0,35,88,1,0,14,6.47543287277222,196,-0.0164825115352869,6.49191522598267,0.315857201814651
26,1,1,18,32,12,13,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,944,0,43,NA,1,1,8,6.85012578964233,64,0.631576240062714,6.21854972839355,3.93198537826538
29,1,1,18,34,NA,8,408301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,614,0,50,114,1,1,10,6.41999483108521,100,0.0212098620831966,6.39878511428833,4.66900205612183
30,1,1,15,32,5,14,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,726,0,37,111,1,1,11,6.58755016326904,121,0.350152522325516,6.23739767074585,2.49647927284241
31,0,1,12,28,14,12,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,604,0,44,NA,1,1,10,6.40357398986816,100,0.00478902133181691,6.39878511428833,-1.33099782466888
32,0,1,12,32,11,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,693,0,44,95,1,1,14,6.54102993011475,196,0.139695838093758,6.40133428573608,0.238395854830742
35,0,1,18,34,14,13,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1400,0,44,132,1,1,10,7.24422693252563,100,1.01413881778717,6.23008823394775,5.10160160064697
36,0,1,12,26,7,12,367772,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,300,0,27,NA,6,1,8,5.70378303527832,64,-0.667038559913635,6.37082147598267,-2.12581181526184
37,0,1,18,32,16,16,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1800,0,38,109,5,1,8,7.49554204940796,64,1.03413915634155,6.46140289306641,3.95164942741394
38,0,1,12,25,11,12,357519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,413,0,43,108,1,1,7,6.02344799041748,49,-0.326719731092453,6.35016775131226,-2.52574825286865
39,0,1,14,29,NA,16,496635,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,45,102,1,1,9,6.44888877868652,81,0.266937673091888,6.18195104598999,0.840762555599213
47,1,1,12,25,12,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,208,0,30,106,1,1,7,5.33753776550293,49,-1.10321128368378,6.440749168396,-2.44828677177429
48,1,1,12,25,NA,11,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,457,0,40,104,6,1,7,6.12468290328979,49,-0.0483744218945503,6.17305755615234,-1.52880108356476
53,1,1,16,24,10,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,824,0,24,119,1,1,2,6.71416997909546,4,0.443412363529205,6.2707576751709,-0.473261564970016
54,1,1,18,34,NA,12,408301,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,47,122,1,1,10,6.35784196853638,100,-0.131524279713631,6.48936605453491,4.74646329879761
55,1,1,11,28,6,10,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,255,0,32,90,1,1,11,5.54126405715942,121,-0.955411672592163,6.49667596817017,-1.85865879058838
62,1,1,16,30,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,47,118,1,1,8,6.86901378631592,64,0.407610893249512,6.46140289306641,1.95164942741394
63,1,1,10,31,8,6,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,944,0,37,105,1,0,15,6.85012578964233,225,0.368693441152573,6.48143243789673,-1.29600989818573
64,1,1,18,34,8,11,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1146,1,43,115,1,1,10,7.04403305053711,100,0.554666817188263,6.48936605453491,4.74646329879761
77,1,1,6,27,2,6,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324,0,16,NA,1,1,15,5.78074407577515,225,-0.700688242912292,6.48143243789673,-5.29601001739502
79,1,1,11,24,6,12,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,235,0,27,65,5,1,7,5.45958614349365,49,-0.713471174240112,6.17305755615234,-2.52880096435547
80,1,1,12,34,11,10,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,45,120,1,0,16,6.90775489807129,256,0.441253751516342,6.46650123596191,1.09043681621552
