"pollingstation","TECnum","regionmarzes","TEC","subregion","avagian","geghamian","demirchian","karapetian","harutyunian","manukian","margarian","sargsian","kocharian","total","PSnum","mon_voting","mon_counting","mon_voting_R2","NOTmon_voting","PollingStationR2","DemirchianR2","KocharianR2","votersR2","mon_votingR2","mom_countingR2","yi2","O1","O2","O3","O4","O5","O6","O7","O8","O9","AveKocharian","urban","totalvoters","turnout","R2turnout","nearNagorno","Ararat","Armavir","Gegharkunik","Kotayk","Lori","Shirak","Syunik","Tavush","Vayots_Dzor","Yerevan","phat","voterspersqkm","regiontotalvoters","regiontotalmonitors","voterpermonitoredstation","R1R2only","_Isubregion_2","_Isubregion_3","_Isubregion_4","_Isubregion_5","_Isubregion_6","_Isubregion_7","_Isubregion_8","_Isubregion_9","_Isubregion_10","_Isubregion_11","_Isubregion_12","_Isubregion_13","_Isubregion_14","_Isubregion_15","_Isubregion_16","_Isubregion_17","_Isubregion_18","_Isubregion_19","_Isubregion_20","_Isubregion_21","_Isubregion_22","_Isubregion_23","_Isubregion_24","_Isubregion_25","_Isubregion_26","_Isubregion_27","_Isubregion_28","_Isubregion_29","_Isubregion_30","_Isubregion_31","_Isubregion_32","_Isubregion_33","_Isubregion_34","_Isubregion_35","_Isubregion_36","_Isubregion_37","_Isubregion_38","_Isubregion_39","_Isubregion_40"
"  0436. Byurakan, Music School",19,"Aragatsotn","Tec#19","Talin",0.00230000005103648,0.403300017118454,0.372999995946884,0.0758000016212463,0.00119999994058162,0.00230000005103648,0,0,0.142200008034706,858,436,0,0,0,1,"0436. Byurakan, Music School",0.192200005054474,0.807799994945526,1072,0,0,0.474923938512802,1,0,0,0,1,0,0,0,0,0.474999994039536,0,1555,0.551768481731415,0.689389050006866,0,0,0,0,0,0,0,0,0,0,0,0.492012053728104,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0456. Gialto, Club",19,"Aragatsotn","Tec#19","Talin",0,0,0,0,0,0,0,0,1,57,456,0,0,0,1,"0456. Gialto, Club",0.0164000000804663,0.98360002040863,61,0,0,0.964031040668488,1,0,0,0,1,0,0,0,0,0.991800010204315,0,103,0.553398072719574,0.592233002185822,0,0,0,0,0,0,0,0,0,0,0,0.18503212928772,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0541. Zamshlu, Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0,0,0.0332999974489212,0,0,0,0,0.966699957847595,90,541,0,0,0,1,"0541. Zamshlu, Club",0.0315999984741211,0.968399941921234,95,0,0,0.945043802261353,1,0,0,0,1,0,0,0,0,0.967549979686737,1,177,0.508474588394165,0.536723136901855,0,0,0,0,0,0,0,0,0,0,0,0.196441203355789,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0448. Avtona, School",19,"Aragatsotn","Tec#19","Talin",0,0,0.5,0,0,0,0,0.0344999991357327,0.465499997138977,58,448,0,0,0,1,"0448. Avtona, School",0.140400007367134,0.859600007534027,57,0,0,0.659265697002411,1,0,0,0,1,0,0,0,0,0.66254997253418,0,137,0.423357665538788,0.416058391332626,0,0,0,0,0,0,0,0,0,0,0,0.190209358930588,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0505. Avshen, Club",20,"Aragatsotn","Tec#20","Ashtarak",0.0109000001102686,0.119599997997284,0.0977999940514565,0.0217000003904104,0,0,0,0,0.75,92,505,0,0,0,1,"0505. Avshen, Club",0.125,0.875,88,0,0,0.821484088897705,1,0,0,0,1,0,0,0,0,0.8125,1,242,0.380165278911591,0.363636374473572,0,0,0,0,0,0,0,0,0,0,0,0.206894546747208,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0555. Ortachya, Club",20,"Aragatsotn","Tec#20","Ashtarak",0,0.194799989461899,0.142900004982948,0.0259999986737967,0,0,0,0,0.636399984359741,77,555,0,0,0,1,"0555. Ortachya, Club",0.412999987602234,0.587000012397766,92,0,0,0.756710767745972,1,0,0,0,1,0,0,0,0,0.611699998378754,1,109,0.706422030925751,0.84403669834137,0,0,0,0,0,0,0,0,0,0,0,0.185937777161598,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0494. Ashtarak, Cultural House",20,"Aragatsotn","Tec#20","Ashtarak",0.00180000008549541,0.1908999979496,0.35249999165535,0.0667000040411949,0,0.0063999998383224,0,0.0009000000427477,0.380800008773804,1095,494,1,1,1,0,"0494. Ashtarak, Cultural House",0.379700005054474,0.620299994945526,1214,1,0,0.601400375366211,0,0,0,1,0,0,0,1,1,0.500550031661987,1,1882,0.581827819347382,0.645058453083038,0,0,0,0,0,0,0,0,0,0,0,0.57315731048584,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0547. Sipan, previous School building",20,"Aragatsotn","Tec#20","Ashtarak",0.0182000007480383,0.0364000014960766,0.163600012660027,0,0,0,0.0182000007480383,0,0.763599991798401,55,547,0,0,0,1,"0547. Sipan, previous School building",0.393400013446808,0.606599986553192,61,0,0,0.829238653182983,1,0,0,0,1,0,0,0,0,0.685099959373474,1,186,0.295698910951614,0.327956974506378,0,0,0,0,0,0,0,0,0,0,0,0.197864443063736,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0429. Oshakan, Club",19,"Aragatsotn","Tec#19","Talin",0.00730000017210841,0.321199983358383,0.319400012493134,0.0500000007450581,0,0.00730000017210841,0,0.00360000017099082,0.291200011968613,1099,429,1,0,1,0,"0429. Oshakan, Club",0.358399987220764,0.641600012779236,1275,1,0,0.552563428878784,0,0,0,1,0,0,0,1,1,0.466400027275085,0,1952,0.563012301921844,0.653176248073578,0,0,0,0,0,0,0,0,0,0,0,0.590172946453094,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0543. Rja-Taza, Club",20,"Aragatsotn","Tec#20","Ashtarak",0.00649999966844916,0.0129999993368983,0.0259999986737967,0.00649999966844916,0,0,0,0,0.948099970817566,154,543,1,0,0,0,"0543. Rja-Taza, Club",0.0115999998524785,0.988399982452393,172,0,0,0.910610318183899,0,1,0,0,0,1,0,0,1,0.968249976634979,1,333,0.462462455034256,0.516516506671906,0,0,0,0,0,0,0,0,0,0,0,0.222210511565208,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0493. Ashtarak, Proshyan 16 build,1-st floor",20,"Aragatsotn","Tec#20","Ashtarak",0.00139999995008111,0.21450001001358,0.390600025653839,0.0511000007390976,0.00279999990016222,0.00709999958053231,0,0,0.332400023937225,704,493,1,0,0,0,"0493. Ashtarak, Proshyan 16 build,1-st floor",0.594900012016296,0.405099987983704,669,0,0,0.575019717216492,0,1,0,0,0,1,0,0,1,0.368750005960464,1,1296,0.543209850788116,0.516203701496124,0,0,0,0,0,0,0,0,0,0,0,0.4278284907341,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  0435. Aghdzk, stuff /hearquaters/",19,"Aragatsotn","Tec#19","Talin",0.00600000005215406,0.231200009584427,0.569100022315979,0.0375000014901161,0,0.00300000002607703,0,0.00300000002607703,0.150200009346008,666,435,0,0,0,1,"0435. Aghdzk, stuff /hearquaters/",0.583899974822998,0.41609999537468,757,0,0,0.47948545217514,1,0,0,0,1,0,0,0,0,0.283150017261505,0,1223,0.544562578201294,0.618969738483429,0,0,0,0,0,0,0,0,0,0,0,0.410076498985291,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0474. Hatsashen, Club",19,"Aragatsotn","Tec#19","Talin",0,0.0411000028252602,0.280799984931946,0.0274000000208616,0,0.0137000000104308,0.00680000009015203,0,0.630100011825562,146,474,1,0,1,0,"0474. Hatsashen, Club",0.308200001716614,0.691799998283386,146,1,0,0.737282693386078,0,0,0,1,0,0,0,1,1,0.660950005054474,0,217,0.672811031341553,0.672811031341553,0,0,0,0,0,0,0,0,0,0,0,0.202826082706451,33.8997001647949,93292,37,2521.40551757813,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0444. Agarak, School",19,"Aragatsotn","Tec#19","Talin",0,0.0465000011026859,0.745599985122681,0.0441999994218349,0,0.00219999998807907,0,0,0.161499992012978,452,444,1,0,0,0,"0444. Agarak, School",0.658699929714203,0.341300010681152,463,0,0,0.481869697570801,0,1,0,0,0,1,0,0,1,0.251399993896484,0,656,0.689024388790131,0.705792665481567,0,0,0,0,0,0,0,0,0,0,0,0.282898813486099,33.8997001647949,93292,37,2521.40551757813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"  0439. Agarak, Club",19,"Aragatsotn","Tec#19","Talin",0.00370000000111759,0.339599996805191,0.329599976539612,0.0998999997973442,0.00119999994058162,0.00499999988824129,0,0.00249999994412065,0.218500003218651,801,439,0,0,1,1,"0439. Agarak, Club",0.329500019550323,0.670499980449677,859,1,0,0.518429279327393,0,0,1,0,0,0,1,0,1,0.444499999284744,0,1237,0.647534370422363,0.694422006607056,0,0,0,0,0,0,0,0,0,0,0,0.413464367389679,33.8997001647949,93292,37,2521.40551757813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
