"diff","treat","lpop2000","poverty","tariq","iso","lnn","garrison","reb","pret","swept","lelev","vilno","groznyy","vildays","deathsd","deaths","woundedd","wounded","propd","lprop","historyd","lhistory"
-1,0,7.52023506164551,3,0,4,1.04626595973969,1,1,4,0,6.55393409729004,36,0,28,NA,NA,NA,NA,NA,NA,NA,NA
1,1,5.7776517868042,3,0,6,0.393122613430023,0,1,0,0,6.50727701187134,79,0,5,0,0,0,0,0,0,0,0
-1,1,8.13005924224854,2,0,0,1.5686160326004,0,1,1,0,6.69579887390137,15,0,90,1,34,0,0,0,0,0,0
0,0,7.90985679626465,3,0,5,0.393122613430023,0,1,0,0,6.50278997421265,98,0,90,NA,NA,NA,NA,NA,NA,NA,NA
1,0,9.3339729309082,2,0,4,0.176471099257469,1,1,4,0,5.74620294570923,24,0,25,NA,NA,NA,NA,NA,NA,NA,NA
0,1,6.71295595169067,3,0,5,0.587786614894867,0,1,0,0,6.60394382476807,40,0,90,0,0,0,0,1,1.09861195087433,0,0
4,0,9.92083644866943,2,0,1,1.54115903377533,1,0,4,0,5.50533199310303,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA
-2,1,3.73766994476318,2,0,9,-0.300024598836899,0,1,3,0,6.19440603256226,65,0,11,0,0,0,0,0,0,0,0
-2,0,2.63905692100525,3,0,5,0.393122613430023,0,1,2,0,6.70441389083862,3,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,5.96870803833008,3,0,7,0.510905623435974,0,1,1,0,6.45990514755249,117,0,90,0,0,0,0,0,0,0,0
0,0,6.21460819244385,3,0,7,-0.300024598836899,0,1,0,0,7.03790616989136,80,0,90,NA,NA,NA,NA,NA,NA,NA,NA
0,1,5.49306201934814,3,0,5,0.105440497398376,0,1,0,0,6.54821920394897,127,0,90,0,0,0,0,0,0,0,0
0,0,6.86171197891235,2,0,5,1.10525703430176,0,1,0,0,5.91889381408691,30,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,7.57507181167603,2,0,5,0.393122613430023,0,1,1,0,5.98645210266113,141,0,90,0,0,0,0,0,0,0,0
0,0,2.9957320690155,3,0,10,1.00136697292328,1,1,0,0,6.62539196014404,37,0,90,NA,NA,NA,NA,NA,NA,NA,NA
-4,1,7.4199800491333,3,0,14,0.601580023765564,1,0,7,0,6.2045578956604,115,0,41,1,2,0,0,0,0,0,0
0,1,6.65929412841797,2,0,3,1.56611299514771,0,1,0,0,6.12029695510864,4,0,90,1,7,1,14,0,0,0,0
-4,0,8.08456230163574,2,0,1,1.65555799007416,0,1,8,1,5.7838249206543,111,0,50,NA,NA,NA,NA,NA,NA,NA,NA
0,0,10.275429725647,2,0,1,1.47017598152161,1,1,6,1,5.42495012283325,113,0,24,NA,NA,NA,NA,NA,NA,NA,NA
2,1,10.6243000030518,2,1,3,1.32813501358032,1,0,2,1,5.45532083511353,136,0,90,0,0,0,0,0,0,1,1.09861195087433
